code|metier|qualification|taux_col17|groupe
OP_LOURD_A_A|Opérateur d'équipement lourd classe A|Apprenti|67.51|metier
OP_LOURD_B_C|Opérateur d'équipement lourd classe B|Compagnon|76.90|metier
OP_LOURD_B_A|Opérateur d'équipement lourd classe B|Apprenti|66.02|metier
OP_PELLES_AA_C|Opérateur de pelles mécaniques AA|Compagnon|85.70|metier
OP_PELLES_AA_A|Opérateur de pelles mécaniques AA|Apprenti|73.48|metier
OP_PELLES_A_C|Opérateur de pelles mécaniques A|Compagnon|83.37|metier
OP_PELLES_A_A|Opérateur de pelles mécaniques A|Apprenti|71.51|metier
OP_PELLES_B_C|Opérateur de pelles mécaniques B|Compagnon|81.03|metier
OP_PELLES_B_A|Opérateur de pelles mécaniques B|Apprenti|69.52|metier
OP_PBETON_42M_C|Opér. pompe à béton (mât de distribution) -42 M|Compagnon|78.51|metier
OP_PBETON_42M_A|Opér. pompe à béton (mât de distribution) -42 M|Apprenti|67.27|metier
OP_PBETON_42P_C|Opér. pompe à béton (mât de distribution) +42 M|Compagnon|81.51|metier
OP_PBETON_42P_A|Opér. pompe à béton (mât de distribution) +42 M|Apprenti|69.82|metier
OP_PBETON_50P_C|Opér. pompe à béton (mât de distribution) +50 M|Compagnon|83.00|metier
OP_PBETON_50P_A|Opér. pompe à béton (mât de distribution) +50 M|Apprenti|71.07|metier
OP_PBETON_58P_C|Opér. pompe à béton (mât de distribution) +58 M|Compagnon|86.01|metier
OP_PBETON_58P_A|Opér. pompe à béton (mât de distribution) +58 M|Apprenti|73.63|metier
OP_PBETON_63P_C|Opér. pompe à béton (mât de distribution) +63 M|Compagnon|91.10|metier
OP_PBETON_63P_A|Opér. pompe à béton (mât de distribution) +63 M|Apprenti|77.97|metier
PARQUETEUR_C|Parqueteur-sableur|Compagnon|84.64|metier
PARQUETEUR_A1|Parqueteur-sableur|Apprenti période 1|53.87|metier
PARQUETEUR_A2|Parqueteur-sableur|Apprenti période 2|61.33|metier
PARQUETEUR_A3|Parqueteur-sableur|Apprenti période 3|72.54|metier
PEINTRE_C|Peintre|Compagnon|80.26|metier
PEINTRE_A1|Peintre|Apprenti période 1|51.14|metier
PEINTRE_A2|Peintre|Apprenti période 2|58.18|metier
PEINTRE_A3|Peintre|Apprenti période 3|68.77|metier
PLATRIER_C|Plâtrier|Compagnon|81.80|metier
PLATRIER_A1|Plâtrier|Apprenti période 1|52.20|metier
PLATRIER_A2|Plâtrier|Apprenti période 2|59.36|metier
PLATRIER_A3|Plâtrier|Apprenti période 3|70.13|metier
POSEUR_SOUPLES_C|Poseur de revêtements souples|Compagnon|82.91|metier
POSEUR_SOUPLES_A1|Poseur de revêtements souples|Apprenti période 1|52.80|metier
POSEUR_SOUPLES_A2|Poseur de revêtements souples|Apprenti période 2|60.10|metier
POSEUR_SOUPLES_A3|Poseur de revêtements souples|Apprenti période 3|71.04|metier
POSEUR_SYSINT_C|Poseur de systèmes intérieurs|Compagnon|85.14|metier
POSEUR_SYSINT_A1|Poseur de systèmes intérieurs|Apprenti période 1|54.37|metier
POSEUR_SYSINT_A2|Poseur de systèmes intérieurs|Apprenti période 2|61.83|metier
POSEUR_SYSINT_A3|Poseur de systèmes intérieurs|Apprenti période 3|73.03|metier
TIREUR_PL_C|Tireur de joints (plâtrier)|Compagnon|80.50|metier
TIREUR_PL_A1|Tireur de joints (plâtrier)|Apprenti période 1|51.39|metier
TIREUR_PL_A2|Tireur de joints (plâtrier)|Apprenti période 2|58.46|metier
TIREUR_PL_A3|Tireur de joints (plâtrier)|Apprenti période 3|69.03|metier
TIREUR_PE_C|Tireur de joints (peintre)|Compagnon|80.45|metier
TIREUR_PE_A1|Tireur de joints (peintre)|Apprenti période 1|51.26|metier
TIREUR_PE_A2|Tireur de joints (peintre)|Apprenti période 2|58.32|metier
TIREUR_PE_A3|Tireur de joints (peintre)|Apprenti période 3|68.92|metier
TUYAUTEUR_C|Tuyauteur|Compagnon|84.40|metier
TUYAUTEUR_A1|Tuyauteur|Apprenti période 1|46.60|metier
TUYAUTEUR_A2|Tuyauteur|Apprenti période 2|53.98|metier
TUYAUTEUR_A3|Tuyauteur|Apprenti période 3|61.34|metier
TUYAUTEUR_A4|Tuyauteur|Apprenti période 4|72.41|metier
CHEF_EQUIPE_CHARP|Chef d'équipe (charpentier-menuisier)|Chef d'équipe|90.60|metier
CHEF_GROUPE_CHARP|Chef de groupe (charpentier-menuisier)|Chef de groupe|92.09|metier
OCC_CHAUFFEUR_VAPEUR|Chauffeur de chaudière à vapeur|NULL|69.45|occupation
OCC_CHAUFFEUR_4|Chauffeur classe IV|NULL|62.81|occupation
OCC_COMMIS|Commis|NULL|51.62|occupation
OCC_COND_CAMION_AA|Conducteur de camion classe AA|NULL|73.60|occupation
OCC_COND_CAMION_A|Conducteur de camion classe A|NULL|71.33|occupation
OCC_COND_CAMION_B|Conducteur de camion classe B|NULL|70.26|occupation
OCC_COND_CAMION_C|Conducteur de camion classe C|NULL|69.47|occupation
OCC_GARDIEN|Gardien|NULL|41.16|occupation
OCC_HOMME_SERVICE_ML|Homme de service sur machines lourdes|NULL|67.85|occupation
OCC_MAGASINIER|Magasinier|NULL|59.51|occupation
OCC_MANOEUVRE_JOURN|Manœuvre (journalier)|NULL|70.05|occupation
OCC_MANOEUVRE_PIPE|Manœuvre (pipeline)|NULL|69.89|occupation
OCC_MANOEUVRE_COUVERT|Manœuvre (travaux de couverture)|NULL|71.35|occupation
OCC_MANOEUVRE_MACO|Manœuvre (maçonnerie)|NULL|73.34|occupation
OCC_MANOEUVRE_DECON|Manœuvre en décontamination|NULL|77.55|occupation
OCC_MANOEUVRE_SPEC|Manœuvre spécialisé|NULL|71.02|occupation
OCC_MANOEUVRE_CARR|Manœuvre spécialisé (carreleur)|NULL|72.38|occupation
OCC_MANOEUVRE_COUV|Manœuvre spécialisé (couverture)|NULL|72.32|occupation
OCC_LEVAGE_A|Opér. d'appareils de levage classe A|NULL|75.29|occupation
OCC_LEVAGE_B|Opér. d'appareils de levage classe B|NULL|72.59|occupation
OCC_GENERATRICE|Opérateur de génératrice|NULL|71.36|occupation
OCC_POMPES_COMP|Opér. de pompes et compresseurs|NULL|72.83|occupation
OCC_POMPES_LIGNE|Opér. de pompes et compr. (pompe à ligne)|NULL|72.83|occupation
OCC_USINES|Opérateur d'usines fixes ou mobiles|NULL|74.15|occupation
OCC_PNEUS_DEBOSS|Préposé aux pneus et débosselage de machines lourdes|NULL|75.19|occupation
