metier|qualification|taux_salaire|salaire_brut|cout_horaire_mo|total_avant_admin
Opér.de pelles mécaniques - B|Compagnon|48.32|54.60|81.03|97.26
Opér.de pelles mécaniques - B|Apprenti|41.07|46.41|69.52|85.75
Opér. p à béton (mât de distr) -42 M.|Compagnon|45.89|51.86|78.51|94.74
Opér. p à béton (mât de distr) -42 M.|Apprenti|39.01|44.08|67.27|83.50
Oper. p. à béton (mât de distr)+42 M.|Compagnon|47.89|54.12|81.51|97.74
Oper. p. à béton (mât de distr)+42 M.|Apprenti|40.71|46.00|69.82|86.05
Oper. p. à béton (mât de distr)+50 M.|Compagnon|48.89|55.25|83.00|99.23
Oper. p. à béton (mât de distr)+50 M.|Apprenti|41.56|46.96|71.07|87.30
Oper. p. à béton (mât de distr)+58 M.|Compagnon|50.89|57.51|86.01|102.24
Oper. p. à béton (mât de distr)+58 M.|Apprenti|43.26|48.88|73.63|89.86
Oper. p. à béton (mât de distr)+63 M.|Compagnon|54.28|61.34|91.10|107.33
Oper. p. à béton (mât de distr)+63 M.|Apprenti|46.14|52.14|77.97|94.20
Parqueteur-sableur|Compagnon|50.16|56.68|84.64|100.87
Parqueteur-sableur|Apprenti période 1|30.10|34.01|53.87|70.10
Parqueteur-sableur|Apprenti période 2|35.11|39.67|61.33|77.56
Parqueteur-sableur|Apprenti période 3|42.64|48.18|72.54|88.77
Peintre|Compagnon|47.39|53.55|80.26|96.49
Peintre|Apprenti période 1|28.43|32.13|51.14|67.37
Peintre|Apprenti période 2|33.17|37.48|58.18|74.41
Peintre|Apprenti période 3|40.28|45.52|68.77|85.00
Plâtrier|Compagnon|48.26|54.53|81.80|98.03
Plâtrier|Apprenti période 1|28.96|32.72|52.20|68.43
Plâtrier|Apprenti période 2|33.78|38.17|59.36|75.59
Plâtrier|Apprenti période 3|41.02|46.35|70.13|86.36
Poseur de revêtements souples|Compagnon|49.07|55.45|82.91|99.14
Poseur de revêtements souples|Apprenti période 1|29.44|33.27|52.80|69.03
Poseur de revêtements souples|Apprenti période 2|34.35|38.82|60.10|76.33
Poseur de revêtements souples|Apprenti période 3|41.71|47.13|71.04|87.27
Poseur de systèmes intérieurs|Compagnon|50.16|56.68|85.14|101.37
Poseur de systèmes intérieurs|Apprenti période 1|30.10|34.01|54.37|70.60
Poseur de systèmes intérieurs|Apprenti période 2|35.11|39.67|61.83|78.06
Poseur de systèmes intérieurs|Apprenti période 3|42.64|48.18|73.03|89.26
Tireur de joints (plâtrier)|Compagnon|47.39|53.55|80.50|96.73
Tireur de joints (plâtrier)|Apprenti période 1|28.43|32.13|51.39|67.62
